---- TEST CASES FOR -- Trie --
, sample,     init time [ms], init heap [MB], init rss [MB],,     insert time [ms], insert heap [MB], insert rss [MB],,     get time [ms], get heap [MB], get rss [MB],,     update time [ms], update heap [MB], update rss [MB]
,1000,    1.4778330028057098, 0.3199999999999932, 0.18000000000000682,,    262.08245900273323, -0.4300000000000068, 3.2399999999999807,,    100.87445801496506, 0.4300000000000068, 0.7599999999999909,,    228.61108300089836, -3.8500000000000085, 1.9700000000000273
,10000,    1.4657080173492432, 0.09999999999999432, 0.18999999999999773,,    2868.4167920053005, 19.829999999999984, 47.83000000000004,,    149.19316601753235, -3.9299999999999784, 18.75,,    304.28404200077057, 7.8799999999999955, 11.909999999999968
,100000,    1.4396660029888153, 0.09999999999999432, 0.18999999999999773,,    36758.783500015736, -6.939999999999998, 106.69000000000003,,    211.62283399701118, 4.670000000000002, 56.64999999999998,,    401.4347909986973, 7.570000000000007, -7.919999999999959
,1000000,    1.4368750154972076, 0.3400000000000034, 0.21999999999999886,,    434288.9521250129, 10.849999999999994, 112.51999999999998,,    872.6405420005322, 1.3799999999999955, 29.170000000000016,,    583.7595829963684, 7.930000000000007, -6.550000000000011    

---- TEST CASES FOR -- AbstractLevel
, sample,     init time [ms], init heap [MB], init rss [MB],,     insert time [ms], insert heap [MB], insert rss [MB],,     get time [ms], get heap [MB], get rss [MB],,     update time [ms], update heap [MB], update rss [MB]
,1000,    0.7625420093536377, 0.2400000000000091, 0.11999999999997613,,    37.180833995342255, -9.510000000000005, 0.6200000000000045,,    10.91704198718071, 3.710000000000008, 0.06999999999999318,,    13.376915991306305, 3.239999999999995, 0
,10000,    0.7947079837322235, 0.030000000000001137, 0.13999999999998636,,    132.71845799684525, -1.7999999999999972, 0.6100000000000136,,    10.655458003282547, 3.5400000000000063, 0.04999999999998295,,    13.308916985988617, -9.040000000000006, 0
,100000,    0.8034160137176514, 0.030000000000001137, 0.15000000000000568,,    1250.159833997488, 93.21000000000001, 99.59000000000003,,    14.54441699385643, -3.6599999999999966, 4.439999999999998,,    13.197415977716446, 3.319999999999993, 1.339999999999975
,1000000,    0.7942500114440918, 0.030000000000001137, 0.160000000000025,,    11171.59862497449, 109.78, 123.72999999999999,,    23.953666985034943, -3.530000000000001, 12.199999999999989,,    11.058958023786545, 3.240000000000009, 0.46999999999997044    
